Package Version
graphics 4.6.1
grid 4.6.1
lattice 0.22-9
methods 4.6.1
mgcv 1.9-4
nlme 3.1-170
nnet 7.3-20
parallel 4.6.1
rpart 4.1.27
spatial 7.3-15
splines 4.6.1
stats 4.6.1
stats4 4.6.1
survival 3.8-9
tcltk 4.6.1
tools 4.6.1
utils 4.6.1
