lane,claim,estimator,spec,data_source,cohort_or_earnings_year,n,coef,se,ci_lo,ci_hi,ar_ci_lo,ar_ci_hi,first_stage_F,notes
B,C3,tsls,controls,NEW7080 (package),1940-1949,486926,0.03927,0.01449,0.01087,0.06768,,,6.85,"30 QOBxYOB instruments; empty over [-0.5,0.8]; min AR=3.109>crit=1.459 (overid rejected)"
B,C3,liml,controls,NEW7080 (package),1940-1949,486926,0.02865,0.0197,-0.00996,0.06726,,,6.85,LIML kappa=1.000
B,C1,first_stage_q1,controls,NEW7080 (package),1920-1929,222258,-0.16682,0.02032,-0.20666,-0.12699,,,,"detrended MA(+2,-2) Q1 education deficit"
B,C1,first_stage_q1,controls,NEW7080 (package),1930-1939,294196,-0.11942,0.01719,-0.15311,-0.08572,,,,"detrended MA(+2,-2) Q1 education deficit"
B,C1,first_stage_q1,controls,NEW7080 (package),1940-1949,438507,-0.08441,0.01275,-0.10939,-0.05943,,,,"detrended MA(+2,-2) Q1 education deficit"
C,C2,enrollment16,bivariate,AK Table II (printed),1960,,0.893,,0.876,0.91,,,,age-16 enrollment by law regime; DiD law effect 4.0pp
C,C2,enrollment16,bivariate,AK Table II (printed),1970,,0.95,,0.942,0.958,,,,age-16 enrollment by law regime; DiD law effect 2.0pp
C,C2,enrollment16,bivariate,AK Table II (printed),1980,,0.956,,0.95,0.962,,,,age-16 enrollment by law regime; DiD law effect 0.5pp
C,C2,enrollment16,bivariate,ACS 2005 PUMS,2005,,0.9647,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.928"
C,C2,enrollment16,bivariate,ACS 2006 PUMS,2006,,0.9623,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.927"
C,C2,enrollment16,bivariate,ACS 2007 PUMS,2007,,0.9629,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.927"
C,C2,enrollment16,bivariate,ACS 2008 PUMS,2008,,0.9677,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.934"
C,C2,enrollment16,bivariate,ACS 2009 PUMS,2009,,0.9683,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.939"
C,C2,enrollment16,bivariate,ACS 2010 PUMS,2010,,0.971,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.944"
C,C2,enrollment16,bivariate,ACS 2011 PUMS,2011,,0.9744,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.946"
C,C2,enrollment16,bivariate,ACS 2012 PUMS,2012,,0.9757,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.952"
C,C2,enrollment16,bivariate,ACS 2013 PUMS,2013,,0.9744,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.950"
C,C2,enrollment16,bivariate,ACS 2014 PUMS,2014,,0.9733,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.951"
C,C2,enrollment16,bivariate,ACS 2015 PUMS,2015,,0.9718,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.952"
C,C2,enrollment16,bivariate,ACS 2016 PUMS,2016,,0.9717,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.954"
C,C2,enrollment16,bivariate,ACS 2017 PUMS,2017,,0.9746,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.950"
C,C2,enrollment16,bivariate,ACS 2018 PUMS,2018,,0.9737,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.949"
C,C2,enrollment16,bivariate,ACS 2019 PUMS,2019,,0.9736,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.951"
C,C2,enrollment16,bivariate,ACS 2021 PUMS,2021,,0.9669,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.949"
C,C2,enrollment16,bivariate,ACS 2022 PUMS,2022,,0.9697,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.948"
C,C2,enrollment16,bivariate,ACS 2023 PUMS,2023,,0.9719,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.950"
C,C2,enrollment16,bivariate,ACS 2024 PUMS,2024,,0.9717,,,,,,,"weighted share age-16 enrolled (SCH in 2,3); age-17=0.949"
