year,rho,var_educ,var_lww,between_school,share_between
1980,0.06325,10.766560033625964,0.46080177348675017,0.04307229632452277,0.09347250553878624
2005,0.1079023926476437,8.767669679328586,0.6491472617275934,0.1020813322418629,0.1572545064276957
2008,0.1115224107913817,8.474203940466092,0.6808141312395943,0.10539577693148379,0.15480844491224663
2011,0.1189997564637183,8.722731694323167,0.7330239392348469,0.12352209794003666,0.16851031914315492
2014,0.1153297885396744,9.212617635510622,0.7533441182976885,0.12253665981316891,0.16265695428811697
2017,0.1103895720858077,9.436951613830296,0.7416391828738287,0.1149973487828653,0.15505835106669277
2019,0.1023598807087422,9.788313464674667,0.7668413260725582,0.10255749654948403,0.13374017943808636
2021,0.0940264200957499,10.810406926024076,0.8095271438028107,0.09557445819762796,0.11806207973294165
2023,0.093708179610966,11.089714209045075,0.7826535811619552,0.09738125265526637,0.12442446441079426
2024,0.0922942952351128,11.264887085926912,0.794736427873497,0.09595697722081092,0.12074063029621813
